,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
46,Bognor Regis and Littlehampton,South East,295000,442,22989,7200,3,8,-0.6702193682736463,0.9995219170856382
47,Bolsover,East Midlands,155000,481,24991,5000,4,16,-1.605954549125419,-0.33774873811689055
48,Bolton North East,North West,155000,490,25464,3000,2,16,-1.3131284966045027,-1.2388987381178806
49,Bolton South East,North West,145000,443,23057,8000,8,16,-2.527203255880611,1.4811894721028052
50,Bolton West,North West,181000,459,23884,6400,4,13,-1.4607746759805975,0.366132441060771
51,Bootle,North West,145000,533,27690,4600,4,19,-1.254165289275722,-1.144287987991923
52,Boston and Skegness,East Midlands,186500,469,24383,6300,4,13,-1.3189949678422528,0.27425583991978236
53,Bosworth,East Midlands,236500,498,25912,7800,4,11,-0.5154394393288813,0.4890431556221341
54,Bournemouth East,South West,280000,499,25932,7600,3,9,-0.05175841686961209,0.43722630077117325
55,Bournemouth West,South West,280000,498,25912,7800,3,9,-0.051351510603332755,0.47133038045730097
56,Bracknell,South East,365000,624,32453,7000,2,9,1.9762605568241562,-0.8890351915209451
57,Bradford East,Yorkshire and The Humber,125000,451,23442,3400,3,19,-2.3123705601926736,-0.8906146735077353
58,Bradford South,Yorkshire and The Humber,127000,529,27529,2600,2,22,-1.4603881609074123,-2.2376652275600066
59,Bradford West,Yorkshire and The Humber,123000,537,27903,3800,4,23,-1.6784752853434648,-1.6937335525509856
60,Braintree,East of England,310000,518,26910,7400,3,9,0.28696648310010947,0.290048438097524
61,Brent Central,London,525000,417,21668,10000,2,4,0.409813117171256,2.0786163275076177
62,Brent North,London,510000,579,30129,10000,2,6,2.2962131034893636,0.4346860390033805
63,Brentford and Isleworth,London,530000,497,25865,7400,2,5,1.26173093352202,0.9202469934870166
64,Brentwood and Ongar,East of England,469375,475,24710,7875,2,5,0.7907047497793165,1.085148523056179
65,Bridgwater and West Somerset,South West,240000,453,23561,8000,4,10,-0.991777977858387,1.0133787281034412
66,Brigg and Goole,Yorkshire and The Humber,175000,492,25584,4250,3,15,-1.201710964634229,-0.6887772456426258
67,"Brighton, Kemptown",South East,369975,527,27383,9995,3,7,0.9128271388639132,0.8523384085072405
68,"Brighton, Pavilion",South East,403500,513,26666,8700,2,7,0.9181380813864178,0.5772034307372582
69,Bristol East,South West,290000,463,24076,9000,4,8,-0.46315036918810754,1.328561975681322
70,Bristol North West,South West,320000,481,25012,8000,3,8,-0.03942992664544789,0.806817530814346
71,Bristol South,South West,290000,502,26114,8600,3,9,0.0716891558002719,0.5643824237504114
72,Bristol West,South West,351000,620,32235,11650,4,9,1.825925180980927,0.3165655507649344
73,Broadland,East of England,285500,592,30800,7100,3,11,0.9788566377244243,-0.6327988512701446
74,Bromley and Chislehurst,London,482000,660,34310,11400,3,7,3.0954670606867962,0.05057747133437108
75,Bromsgrove,West Midlands,310625,489,25412,7135,3,8,-0.00952621970422254,0.6013597758454453
76,Broxbourne,East of England,399995,489,25412,9949,3,6,0.6078816464177189,1.3214584608769626
77,Broxtowe,East Midlands,225000,431,22422,9800,6,10,-1.513200339722285,1.9766965724908903
78,Buckingham,South East,411551,532,27669,2316,1,7,1.0283610986955738,-0.7430033874135283
79,Burnley,North West,118000,431,22412,5200,6,19,-2.914598093983314,0.3380541620169491
80,Burton,West Midlands,189950,500,26010,4290,3,14,-0.9523466799859378,-0.6392505811935062
81,Bury North,North West,205000,550,28605,11500,8,14,-0.581733599174171,1.3047175040194572
82,Bury South,North West,220000,524,27227,9000,5,12,-0.40556598683218625,0.5825842300795975
83,Bury St Edmunds,East of England,277875,579,30113,2876,1,11,0.8516598614173133,-1.6612454243876889
84,Calder Valley,Yorkshire and The Humber,180000,497,25818,4400,3,14,-1.0244593321378308,-0.6101990088860502
85,Camberwell and Peckham,London,495000,557,28969,4950,1,6,1.8523839989687676,-0.3704092743671033
86,Camborne and Redruth,South West,240000,454,23608,9000,5,10,-1.066700600265437,1.4154977029175675
