ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Keighley,Yorkshire and The Humber,179000,499,25938,4350,2.766295707,14.49050279
Kenilworth and Southam,West Midlands,345000,439,22818,2001,0.597322348,6.613913043
Kensington,London,1400000,607,31554,0,0,2.253857143
Kettering,East Midlands,228500,425,22079,5700,2.85,9.662582057
Kingston and Surbiton,London,489250,594,30904,5850,1.27173913,6.316607052
Kingston upon Hull East,Yorkshire and The Humber,125000,431,22412,3100,2.831050228,17.9296
Kingston upon Hull North,Yorkshire and The Humber,132000,518,26931,2200,1.818181818,20.40227273
Kingston upon Hull West and Hessle,Yorkshire and The Humber,130000,440,22875,2000,1.666666667,17.59615385
Kingswood,South West,292000,445,23124,8900,3.595959596,7.919178082
Knowsley,North West,159950,503,26161,6490,5.090196078,16.35573617
Lancaster and Fleetwood,North West,160000,445,23124,2300,1.54896666,14.4525
Leeds Central,Yorkshire and The Humber,145000,487,25319,5000,4.166666667,17.46137931
Leeds East,Yorkshire and The Humber,187750,433,22506,6050,3.841269841,11.98721704
Leeds North East,Yorkshire and The Humber,284000,477,24794,10000,4.273504274,8.73028169
Leeds North West,Yorkshire and The Humber,260000,450,23390,6800,3.008849558,8.996153846
Leeds West,Yorkshire and The Humber,170050,499,25964,6910,5.099630996,15.26845046
Leicester East,East Midlands,240000,480,24955,12000,6.666666667,10.39791667
Leicester South,East Midlands,215750,493,25626,10150,6.151515152,11.87763615
Leicester West,East Midlands,195000,434,22578,10600,7.464788732,11.57846154
Leigh,North West,165000,436,22682,5651,4.132068228,13.74666667
Lewes,South East,375000,513,26671,8350,2.505626407,7.112266667
Lewisham East,London,440000,630,32739,8001,2.000137501,7.440681818
Lewisham West and Penge,London,435000,467,24305,5000,1.219512195,5.587356322
"Lewisham, Deptford",London,465825,663,34471,7165,1.66627907,7.399989266
Leyton and Wanstead,London,525000,578,30040,13000,2.826086957,5.721904762
Lichfield,West Midlands,262500,543,28231,5300,2.245762712,10.75466667
Lincoln,East Midlands,181500,472,24534,6300,4.2,13.51735537
"Liverpool, Riverside",North West,170000,556,28886,8500,6.666666667,16.99176471
"Liverpool, Walton",North West,115000,507,26338,5600,6.436781609,22.9026087
"Liverpool, Wavertree",North West,160000,457,23785,4000,2.857142857,14.865625
"Liverpool, West Derby",North West,140000,464,24138,3000,2.4000896,17.24142857
Loughborough,East Midlands,226000,508,26432,7200,3.789473684,11.69557522
Louth and Horncastle,East Midlands,200000,484,25173,6500,3.880597015,12.5865
Ludlow,West Midlands,255000,481,25012,6000,2.666666667,9.808627451
Luton North,East of England,290000,505,26239,6450,2.50242483,9.047931034
